,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
360,Lovozero,68.0,35.01,25.99,97,23,9.6,RU,1604098915
361,Saint Anthony,45.02,-93.22,44.6,42,1,9.17,US,1604098915
362,Inhambane,-23.86,35.38,72.3,85,48,10.2,MZ,1604098916
363,Otradnoye,59.78,30.82,46.4,93,90,6.71,RU,1604098749
364,Peruíbe,-24.32,-47.0,66.92,93,100,6.29,BR,1604098916
365,Puerto Carreño,6.19,-67.49,82.96,80,38,8.48,CO,1604098700
366,Wau,7.7,28.0,74.12,87,100,4.45,SS,1604098917
367,Ponta do Sol,32.67,-17.1,68.0,77,20,14.99,PT,1604098770
368,Goya,-29.14,-59.26,62.08,67,69,6.46,AR,1604098917
369,Porto Belo,-27.16,-48.55,69.8,64,75,13.87,BR,1604098918
370,Wukari,7.85,9.78,77.77,62,65,3.89,NG,1604098918
